"","p val","significant","n-1","confidence interval"
"2006",0.018979810236322,TRUE,c(df = 11),c(1.15512276167244, 5.50900722376003)
"2007",0.0277326081340367,TRUE,c(df = 10),c(0.934972545390777, 5.66230904905141)
"2008",0.0214841237984386,TRUE,c(df = 11),c(1.0926949120425, 5.81066565851623)
"2009",0.00800160448146146,TRUE,c(df = 11),c(1.40243677549419, 4.16285582124429)
"2010",0.0451158536254658,TRUE,c(df = 11),c(0.781072201214285, 3.58467542846583)
"2011",0.0257001691489607,TRUE,c(df = 10),c(0.987836706057592, 4.31318910307548)
"2012",0.00200250431405931,TRUE,c(df = 13),c(1.77274439288691, 4.28757934570726)
"2013",0.00170637982731914,TRUE,c(df = 14),c(1.55752935396131, 3.2994407717694)
"2014",0.00255574573171179,TRUE,c(df = 14),c(1.77298503414012, 4.60740435374261)
"2015",0.0025250448938196,TRUE,c(df = 12),c(1.98069658062832, 5.41535015182616)
"2016",0.0125676735932619,TRUE,c(df = 12),c(1.19930932935069, 3.49523436098356)
"2017",0.0217606794502681,TRUE,c(df = 10),c(1.04102411586989, 3.27940674595571)
"2018",0.0243752666894595,TRUE,c(df = 9),c(1.0106811652938, 4.13255273265926)
"2019",0.0169690333073423,TRUE,c(df = 8),c(1.2045618804519, 5.00171766051252)
"2020",0.0329934663091092,TRUE,c(df = 8),c(0.917934579550884, 3.04551856117075)
"2021",0.0399483036811511,TRUE,c(df = 8),c(0.736487693609806, 4.77385732900988)
"2022",0.0227570129568557,TRUE,c(df = 8),c(1.03968510105568, 4.07911343593194)
"2023",0.0197478161308214,TRUE,c(df = 7),c(1.15080742950919, 5.58591666938113)
